dataset,n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
MUC16_11m.in,11409987,14507,22,0.05,0,"Brute force",5,9.35236,9.37475,9.5041,0,0,0
MUC16_11m.in,11409987,14507,22,0.05,2,"Sqrt",5,3.00355,2.99139,3.06158,0,0,0
MUC16_11m.in,11409987,14507,22,0.05,3,"Projection to 2/eps alphabet",5,144.048,144.549,145.799,0.05,0.05,0.05
MUC16_11m.in,11409987,14507,22,0.05,4,"Projection to 2/eps alphabet with short circuit",5,110.562,112.126,113.534,0.05,0.05,0.05
MUC16_11m.in,11409987,14507,22,0.05,5,"Projection to 2/eps alphabet with magic short circuit",5,5.93358,5.94923,5.99079,0.0479692,0.0479672,0.05
MUC16_11m.in,11409987,14507,22,0.05,6,"Heuristic 1: TP score",5,70.387,70.2613,71.002,0.00247157,0.00220913,0.00368487
MUC16_11m.in,11409987,14507,22,0.05,7,"Heuristic 1: TP score with magic short circuit",5,5.89912,5.90201,5.93968,0.0049173,0.0057688,0.00914319
MUC16_11m.in,11409987,14507,22,0.1,0,"Brute force",5,9.38861,9.35602,9.5931,0,0,0
MUC16_11m.in,11409987,14507,22,0.1,2,"Sqrt",5,2.94517,2.94314,2.99052,0,0,0
MUC16_11m.in,11409987,14507,22,0.1,3,"Projection to 2/eps alphabet",5,74.1623,73.9884,74.7836,0.0798661,0.0794872,0.0839493
MUC16_11m.in,11409987,14507,22,0.1,4,"Projection to 2/eps alphabet with short circuit",5,19.1748,18.5361,21.6814,0.0750046,0.0733579,0.0818572
MUC16_11m.in,11409987,14507,22,0.1,5,"Projection to 2/eps alphabet with magic short circuit",5,3.09114,3.09237,3.09752,0.0643271,0.059891,0.0812754
MUC16_11m.in,11409987,14507,22,0.1,6,"Heuristic 1: TP score",5,37.1548,37.1331,37.5227,0.043365,0.0425345,0.0482405
MUC16_11m.in,11409987,14507,22,0.1,7,"Heuristic 1: TP score with magic short circuit",5,3.11029,3.09332,3.15846,0.0518167,0.0551709,0.0569285
MUC16_11m.in,11409987,14507,22,0.2,0,"Brute force",5,9.31357,9.29917,9.40426,0,0,0
MUC16_11m.in,11409987,14507,22,0.2,2,"Sqrt",5,2.92205,2.92194,2.9303,0,0,0
MUC16_11m.in,11409987,14507,22,0.2,3,"Projection to 2/eps alphabet",5,40.4836,40.4827,40.6512,0.106828,0.105873,0.112785
MUC16_11m.in,11409987,14507,22,0.2,4,"Projection to 2/eps alphabet with short circuit",5,6.79437,6.79674,6.84738,0.0953334,0.0953658,0.108616
MUC16_11m.in,11409987,14507,22,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,1.70331,1.70641,1.71465,0.0681217,0.0685921,0.0753286
MUC16_11m.in,11409987,14507,22,0.2,6,"Heuristic 1: TP score",5,20.4072,20.4493,20.5485,0.118954,0.119083,0.121259
MUC16_11m.in,11409987,14507,22,0.2,7,"Heuristic 1: TP score with magic short circuit",5,1.69854,1.69768,1.70238,0.150679,0.137418,0.187568
MUC16_11m.in,11409987,14507,22,0.5,0,"Brute force",5,9.38178,9.36621,9.43555,0,0,0
MUC16_11m.in,11409987,14507,22,0.5,2,"Sqrt",5,2.94712,2.95869,2.97596,0,0,0
MUC16_11m.in,11409987,14507,22,0.5,3,"Projection to 2/eps alphabet",5,20.3888,20.3907,20.618,0.147098,0.14755,0.154032
MUC16_11m.in,11409987,14507,22,0.5,4,"Projection to 2/eps alphabet with short circuit",5,3.38851,3.3754,3.44183,0.122648,0.12452,0.15279
MUC16_11m.in,11409987,14507,22,0.5,5,"Projection to 2/eps alphabet with magic short circuit",5,0.859165,0.859712,0.870494,0.0838972,0.0814797,0.104626
MUC16_11m.in,11409987,14507,22,0.5,6,"Heuristic 1: TP score",5,10.7067,10.6958,10.8554,0.295498,0.295804,0.297553
MUC16_11m.in,11409987,14507,22,0.5,7,"Heuristic 1: TP score with magic short circuit",5,0.896506,0.890555,0.909324,0.311981,0.310312,0.325163
