n,m,sigma,eps,algo_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
10000,2000,1000,0.1,0,"Brute force",3,0.00224949,0.0021645,0.0024245,0,0,0
10000,2000,1000,0.1,1,"Projection to 2/eps alphabet",3,0.0444136,0.0435969,0.0461431,0.0509094,0.051105,0.0531469
10000,2000,1000,0.1,2,"Sqrt",3,0.000366444,0.000372125,0.000372833,0,0,0
10000,2000,1000,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0372686,0.0372992,0.0374448,0.0435795,0.047749,0.052349
10000,2000,1000,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0378575,0.037864,0.0378964,0.045711,0.0500677,0.0521978
10000,2000,1000,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0366527,0.0366669,0.0366707,0.0531271,0.0530726,0.0551724
100000,20000,1000,0.1,0,"Brute force",3,0.146148,0.146275,0.146303,0,0,0
100000,20000,1000,0.1,1,"Projection to 2/eps alphabet",3,0.517536,0.518937,0.521892,0.0496754,0.0497314,0.05
100000,20000,1000,0.1,2,"Sqrt",3,0.00364532,0.00365029,0.00365313,0,0,0
100000,20000,1000,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.56,0.541935,0.623934,0.0480858,0.0481431,0.0484624
100000,20000,1000,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.536166,0.534872,0.539445,0.0433434,0.0486628,0.0493056
100000,20000,1000,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.517269,0.515491,0.523383,0.0496646,0.0495766,0.0514483
1000000,200000,1000,0.1,0,"Brute force",3,14.3542,14.3392,14.3968,0,0,0
1000000,200000,1000,0.1,1,"Projection to 2/eps alphabet",3,12.252,12.2641,12.2754,0.0492226,0.0491968,0.0493423
1000000,200000,1000,0.1,2,"Sqrt",3,0.0780715,0.0782375,0.0803291,0,0,0
1000000,200000,1000,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,10.9587,10.9492,11.1077,0.0444969,0.0460974,0.0467873
1000000,200000,1000,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,11.1062,11.1192,11.1202,0.0444213,0.0461063,0.0478547
1000000,200000,1000,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,10.8674,10.8748,10.8848,0.0480826,0.0474265,0.0495163
1000000,50000,1000,0.1,0,"Brute force",3,4.29519,4.29656,4.29834,0,0,0
1000000,50000,1000,0.1,1,"Projection to 2/eps alphabet",3,12.0282,12.0234,12.0766,0.0495315,0.0491484,0.0503246
1000000,50000,1000,0.1,2,"Sqrt",3,0.0677662,0.0678367,0.0684419,0,0,0
1000000,50000,1000,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,10.7522,10.7382,10.7833,0.0463496,0.0479429,0.0490937
1000000,50000,1000,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,11.1137,11.0933,11.1767,0.0491081,0.0491877,0.049477
1000000,50000,1000,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,10.8736,10.8658,10.8896,0.0493443,0.0490583,0.0500166
1000000,100000,1000,0.1,0,"Brute force",3,8.0872,8.073,8.12873,0,0,0
1000000,100000,1000,0.1,1,"Projection to 2/eps alphabet",3,12.2688,12.155,12.5144,0.049519,0.0495199,0.0497085
1000000,100000,1000,0.1,2,"Sqrt",3,0.0692199,0.0690474,0.0700558,0,0,0
1000000,100000,1000,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,10.9289,10.9346,10.9748,0.046552,0.0464102,0.0474241
1000000,100000,1000,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,11.1324,11.1101,11.185,0.0488924,0.0488775,0.0491316
1000000,100000,1000,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,10.9565,10.9321,11.0284,0.0492805,0.0490633,0.0498466
1000000,400000,1000,0.1,0,"Brute force",3,21.4572,21.4523,21.503,0,0,0
1000000,400000,1000,0.1,1,"Projection to 2/eps alphabet",3,12.4949,12.3627,12.803,0.0490935,0.0490643,0.0492377
1000000,400000,1000,0.1,2,"Sqrt",3,0.0871166,0.084073,0.0941751,0,0,0
1000000,400000,1000,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,11.0115,11.0022,11.0609,0.0443226,0.0463368,0.0474329
1000000,400000,1000,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,11.2401,11.1725,11.3956,0.0422047,0.0417747,0.0487423
1000000,400000,1000,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,11.1939,11.201,11.2874,0.0481711,0.0487334,0.0489119
1000000,500000,1000,0.1,0,"Brute force",3,22.589,22.6029,22.6463,0,0,0
1000000,500000,1000,0.1,1,"Projection to 2/eps alphabet",3,12.264,12.2711,12.3092,0.0491482,0.049143,0.0492656
1000000,500000,1000,0.1,2,"Sqrt",3,0.0902629,0.0911633,0.091716,0,0,0
1000000,500000,1000,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,11.1081,11.141,11.1645,0.0416252,0.0466343,0.0469327
1000000,500000,1000,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,11.2612,11.2581,11.2776,0.0456572,0.0455699,0.047372
1000000,500000,1000,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,11.0054,10.9328,11.1545,0.0408206,0.0475324,0.0484506
1000000,200000,4,0.1,0,"Brute force",3,14.4677,14.4901,14.5179,0,0,0
