dataset,n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
covid_11m.in,11409987,1273,22,0.05,0,"Brute force",5,0.850804,0.849495,0.854376,0,0,0
covid_11m.in,11409987,1273,22,0.05,2,"Sqrt",5,0.385149,0.377062,0.400586,0,0,0
covid_11m.in,11409987,1273,22,0.05,3,"Projection to 2/eps alphabet",5,95.7392,95.2721,97.3803,0.05,0.05,0.05
covid_11m.in,11409987,1273,22,0.05,4,"Projection to 2/eps alphabet with short circuit",5,20.3795,16.4409,36.5082,0.05,0.05,0.05
covid_11m.in,11409987,1273,22,0.05,5,"Projection to 2/eps alphabet with magic short circuit",5,4.09883,4.08558,4.17191,0.05,0.05,0.05
covid_11m.in,11409987,1273,22,0.05,6,"Heuristic 1: TP score",5,48.629,48.7002,49.088,0.00821464,0.00739523,0.0125733
covid_11m.in,11409987,1273,22,0.05,7,"Heuristic 1: TP score with magic short circuit",5,4.07635,4.06249,4.10175,0.0161671,0.02,0.0208855
covid_11m.in,11409987,1273,22,0.1,0,"Brute force",5,0.855517,0.856505,0.861828,0,0,0
covid_11m.in,11409987,1273,22,0.1,2,"Sqrt",5,0.386569,0.385692,0.393483,0,0,0
covid_11m.in,11409987,1273,22,0.1,3,"Projection to 2/eps alphabet",5,51.4374,51.4342,51.6136,0.0909707,0.091061,0.0921927
covid_11m.in,11409987,1273,22,0.1,4,"Projection to 2/eps alphabet with short circuit",5,2.12526,2.12652,2.13601,0.0847399,0.0851419,0.0883838
covid_11m.in,11409987,1273,22,0.1,5,"Projection to 2/eps alphabet with magic short circuit",5,2.1316,2.13155,2.14471,0.0799025,0.0771144,0.0915966
covid_11m.in,11409987,1273,22,0.1,6,"Heuristic 1: TP score",5,25.7521,25.7941,25.9255,0.0536366,0.0541427,0.0564315
covid_11m.in,11409987,1273,22,0.1,7,"Heuristic 1: TP score with magic short circuit",5,2.1216,2.11926,2.12867,0.0806481,0.0809917,0.0854987
covid_11m.in,11409987,1273,22,0.2,0,"Brute force",5,0.842343,0.842456,0.842998,0,0,0
covid_11m.in,11409987,1273,22,0.2,2,"Sqrt",5,0.384673,0.381769,0.397017,0,0,0
covid_11m.in,11409987,1273,22,0.2,3,"Projection to 2/eps alphabet",5,27.9668,27.9842,28.2477,0.131528,0.135181,0.13709
covid_11m.in,11409987,1273,22,0.2,4,"Projection to 2/eps alphabet with short circuit",5,1.16321,1.16243,1.16794,0.112118,0.115,0.125729
covid_11m.in,11409987,1273,22,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,1.1672,1.16754,1.16884,0.112131,0.110649,0.126749
covid_11m.in,11409987,1273,22,0.2,6,"Heuristic 1: TP score",5,13.9781,13.9688,14.0182,0.131353,0.130182,0.134711
covid_11m.in,11409987,1273,22,0.2,7,"Heuristic 1: TP score with magic short circuit",5,1.17326,1.17337,1.17452,0.177675,0.178602,0.185833
covid_11m.in,11409987,1273,22,0.5,0,"Brute force",5,0.842535,0.842523,0.842929,0,0,0
covid_11m.in,11409987,1273,22,0.5,2,"Sqrt",5,0.382096,0.382216,0.382752,0,0,0
covid_11m.in,11409987,1273,22,0.5,3,"Projection to 2/eps alphabet",5,13.8998,13.8954,13.9713,0.191866,0.189394,0.199327
covid_11m.in,11409987,1273,22,0.5,4,"Projection to 2/eps alphabet with short circuit",5,0.589086,0.58904,0.589925,0.170102,0.160639,0.201518
covid_11m.in,11409987,1273,22,0.5,5,"Projection to 2/eps alphabet with magic short circuit",5,0.59233,0.592144,0.593786,0.156714,0.1508,0.170833
covid_11m.in,11409987,1273,22,0.5,6,"Heuristic 1: TP score",5,7.17308,7.16968,7.21125,0.306452,0.306224,0.309801
covid_11m.in,11409987,1273,22,0.5,7,"Heuristic 1: TP score with magic short circuit",5,0.606202,0.606235,0.607051,0.365069,0.365915,0.371616
