n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
10000,5000,100,0.2,0,"Brute force",5,0.00311341,0.00296113,0.00363637,0,0,0
10000,5000,100,0.2,2,"Sqrt",5,0.000349625,0.000339917,0.000387834,0,0,0
10000,5000,100,0.2,3,"Projection to 2/eps alphabet",5,0.0281623,0.0261056,0.0362737,0.1328,0.14,0.14
10000,5000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.0177212,0.0175936,0.0181925,0.1376,0.14,0.152
10000,5000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.00197417,0.00190079,0.00217033,0.1176,0.116,0.128
10000,5000,100,0.2,6,"Heuristic 1: TP score",5,0.012885,0.0127308,0.0134387,0.022,0,0.1
10000,5000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.00602379,0.00532533,0.00881763,0.15,0.13,0.24
100000,50000,100,0.2,0,"Brute force",5,0.228344,0.228802,0.230094,0,0,0
100000,50000,100,0.2,2,"Sqrt",5,0.018774,0.0187918,0.0190515,0,0,0
100000,50000,100,0.2,3,"Projection to 2/eps alphabet",5,0.49249,0.491198,0.503245,0.1352,0.14,0.14
100000,50000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.382267,0.384817,0.396012,0.1376,0.128,0.176
100000,50000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.0286092,0.0286143,0.0286851,0.104,0.104,0.116
100000,50000,100,0.2,6,"Heuristic 1: TP score",5,0.258703,0.258382,0.26032,0,0,0
100000,50000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.101539,0.0903753,0.149232,0.2,0.27,0.3
1000000,500000,100,0.2,0,"Brute force",5,22.4567,22.4325,22.8349,0,0,0
1000000,500000,100,0.2,2,"Sqrt",5,4.32367,4.33011,4.33999,0,0,0
1000000,500000,100,0.2,3,"Projection to 2/eps alphabet",5,5.28566,5.28718,5.31472,0.1448,0.152,0.152
1000000,500000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,4.49847,4.49552,4.52255,0.1328,0.128,0.152
1000000,500000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.269085,0.267781,0.273483,0.1168,0.104,0.148
1000000,500000,100,0.2,6,"Heuristic 1: TP score",5,2.66959,2.67016,2.69468,0.006,0,0.03
1000000,500000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,1.02488,0.810437,1.36686,0.112,0.06,0.25
1000000,50000,100,0.2,0,"Brute force",5,4.3534,4.36326,4.43731,0,0,0
1000000,50000,100,0.2,2,"Sqrt",5,0.186149,0.186118,0.188027,0,0,0
