n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
10000,2000,100,0.2,0,"Brute force",5,0.00171524,0.00174267,0.00183642,0,0,0
10000,2000,100,0.2,2,"Sqrt",5,6.12168e-05,4.8333e-05,0.000112667,0,0,0
10000,2000,100,0.2,3,"Projection to 2/eps alphabet",5,0.0243444,0.0230008,0.0312817,0.1931,0.1925,0.2
10000,2000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.00148717,0.00148712,0.00149267,0.0996,0.0905,0.163
10000,2000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.00179095,0.00149537,0.00298412,0.1147,0.1235,0.164
10000,2000,100,0.2,6,"Heuristic 1: TP score",5,0.0104032,0.0104275,0.0104374,0.0005,0,0.0015
10000,2000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.00152184,0.00151283,0.00155371,0.0051,0.0025,0.018
100000,20000,100,0.2,0,"Brute force",5,0.14385,0.142438,0.146535,0,0,0
100000,20000,100,0.2,2,"Sqrt",5,0.000326892,0.000324458,0.000355708,0,0,0
100000,20000,100,0.2,3,"Projection to 2/eps alphabet",5,0.317015,0.315427,0.324337,0.18914,0.19405,0.199
100000,20000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.0186157,0.0186277,0.0188199,0.11174,0.0966,0.1879
100000,20000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.0187546,0.0187676,0.0189202,0.08554,0.06755,0.15575
100000,20000,100,0.2,6,"Heuristic 1: TP score",5,0.166318,0.166486,0.166792,1e-05,0,5e-05
100000,20000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.0190018,0.0191104,0.0193118,0.00464,5e-05,0.02295
1000000,200000,100,0.2,0,"Brute force",5,13.9374,13.9699,14.0795,0,0,0
1000000,200000,100,0.2,2,"Sqrt",5,0.0037744,0.00341763,0.00522258,0,0,0
1000000,200000,100,0.2,3,"Projection to 2/eps alphabet",5,4.56129,4.55332,4.60379,0.189582,0.18992,0.19286
1000000,200000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.321151,0.230797,0.457844,0.128138,0.149035,0.190345
1000000,200000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.229458,0.229464,0.230067,0.102569,0.10743,0.19849
1000000,200000,100,0.2,6,"Heuristic 1: TP score",5,2.27859,2.27182,2.29264,9e-06,1e-05,2e-05
1000000,200000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.232449,0.232012,0.23443,0.001664,1e-05,0.008265
1000000,50000,100,0.2,0,"Brute force",5,4.2258,4.24695,4.24857,0,0,0
1000000,50000,100,0.2,2,"Sqrt",5,0.00354685,0.00305117,0.00571429,0,0,0
1000000,50000,100,0.2,3,"Projection to 2/eps alphabet",5,3.16301,3.16271,3.18722,0.174764,0.17916,0.19906
1000000,50000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.160596,0.160675,0.160836,0.06864,0.05724,0.13084
1000000,50000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.192923,0.161104,0.320382,0.092112,0.06898,0.19992
1000000,50000,100,0.2,6,"Heuristic 1: TP score",5,1.59608,1.59298,1.60594,0.0094,2e-05,0.04696
1000000,50000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.162325,0.162168,0.163218,6e-05,6e-05,0.00012
1000000,100000,100,0.2,0,"Brute force",5,8.02369,8.01321,8.0909,0,0,0
1000000,100000,100,0.2,2,"Sqrt",5,0.00357838,0.00324079,0.00508279,0,0,0
1000000,100000,100,0.2,3,"Projection to 2/eps alphabet",5,3.57129,3.52539,3.78922,0.174282,0.17915,0.19678
1000000,100000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.176604,0.176634,0.177072,0.073668,0.04965,0.14015
1000000,100000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.211608,0.176901,0.350932,0.068366,0.06426,0.09454
1000000,100000,100,0.2,6,"Heuristic 1: TP score",5,1.77571,1.77525,1.78034,0.00635,0.00535,0.01954
1000000,100000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.178239,0.178313,0.178437,1.4e-05,0,6e-05
1000000,400000,100,0.2,0,"Brute force",5,21.3542,21.3875,21.4792,0,0,0
1000000,400000,100,0.2,2,"Sqrt",5,0.00427593,0.00417271,0.00467537,0,0,0
1000000,400000,100,0.2,3,"Projection to 2/eps alphabet",5,5.16444,5.1469,5.20589,0.186587,0.1923,0.1995
1000000,400000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.309883,0.258914,0.514436,0.094584,0.0915825,0.182415
1000000,400000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.258899,0.259029,0.259129,0.0916775,0.0875825,0.165815
1000000,400000,100,0.2,6,"Heuristic 1: TP score",5,2.59205,2.59134,2.60021,0.0103135,2.5e-05,0.0265325
1000000,400000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.260873,0.260829,0.261205,0.0009815,0,0.004895
1000000,600000,100,0.2,0,"Brute force",5,21.5644,21.5615,21.6693,0,0,0
1000000,600000,100,0.2,2,"Sqrt",5,0.00479739,0.00469117,0.00533375,0,0,0
1000000,600000,100,0.2,3,"Projection to 2/eps alphabet",5,6.65615,6.65457,6.67054,0.187721,0.187305,0.190957
1000000,600000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.333946,0.334003,0.335174,0.11951,0.103427,0.194287
1000000,600000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.333529,0.333747,0.334176,0.0733777,0.056475,0.149272
1000000,600000,100,0.2,6,"Heuristic 1: TP score",5,3.34171,3.33992,3.3467,0.000579333,5e-06,0.00269667
1000000,600000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.337099,0.337159,0.338107,0.00557433,3.16667e-05,0.0264433
1000000,200000,4,0.2,0,"Brute force",5,14.221,14.2304,14.2336,0.0428853,0.0430711,0.0431759
1000000,200000,4,0.2,2,"Sqrt",5,0.159502,0.158697,0.162213,0.0428853,0.0430711,0.0431759
1000000,200000,4,0.2,3,"Projection to 2/eps alphabet",5,3.14112,3.11943,3.19906,0.163153,0.162926,0.164072
1000000,200000,4,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.157113,0.157169,0.15799,0.163153,0.162926,0.164072
1000000,200000,4,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.157219,0.157191,0.157775,0.163153,0.162926,0.164072
1000000,200000,4,0.2,6,"Heuristic 1: TP score",5,1.58213,1.57759,1.60222,0.0428853,0.0430711,0.0431759
1000000,200000,4,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.159554,0.159676,0.160134,0.0428853,0.0430711,0.0431759
1000000,200000,10,0.2,0,"Brute force",5,14.2319,14.2287,14.2669,0,0,0
1000000,200000,10,0.2,2,"Sqrt",5,0.386784,0.386673,0.387299,0,0,0
1000000,200000,10,0.2,3,"Projection to 2/eps alphabet",5,4.68919,4.6831,4.71254,0.189319,0.189851,0.1928
1000000,200000,10,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.234854,0.23457,0.235777,0.167392,0.182043,0.188577
1000000,200000,10,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.234634,0.234417,0.235057,0.12575,0.13866,0.15244
1000000,200000,10,0.2,6,"Heuristic 1: TP score",5,2.35963,2.35286,2.38763,0.0128734,0.00949569,0.0297999
1000000,200000,10,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.236375,0.235179,0.238593,0.00583428,0.00578889,0.00596773
1000000,200000,20,0.2,0,"Brute force",5,14.2683,14.2653,14.3348,0,0,0
1000000,200000,20,0.2,2,"Sqrt",5,0.00836396,0.00893112,0.00969296,0,0,0
1000000,200000,20,0.2,3,"Projection to 2/eps alphabet",5,4.67946,4.6812,4.68376,0.188443,0.18822,0.191723
1000000,200000,20,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.235371,0.235084,0.236595,0.111961,0.130111,0.152062
1000000,200000,20,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.326081,0.236594,0.464373,0.0856299,0.05861,0.198242
1000000,200000,20,0.2,6,"Heuristic 1: TP score",5,2.35041,2.35005,2.35897,0.000154002,0.000155002,0.000195002
1000000,200000,20,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.236263,0.236235,0.23655,0.00432908,0.000285003,0.0173153
1000000,200000,40,0.2,0,"Brute force",5,14.2377,14.2014,14.387,0,0,0
1000000,200000,40,0.2,2,"Sqrt",5,0.00383526,0.003665,0.00459413,0,0,0
1000000,200000,40,0.2,3,"Projection to 2/eps alphabet",5,4.68273,4.67187,4.70475,0.186495,0.187015,0.18957
1000000,200000,40,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.236587,0.235426,0.241283,0.105836,0.10601,0.188755
1000000,200000,40,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.235123,0.235143,0.235382,0.084655,0.08768,0.150695
1000000,200000,40,0.2,6,"Heuristic 1: TP score",5,2.35424,2.35455,2.35532,0.002765,5e-06,0.01358
1000000,200000,40,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.237125,0.236968,0.237472,1.1e-05,1e-05,3.5e-05
1000000,200000,80,0.2,0,"Brute force",5,14.2391,14.2286,14.2832,0,0,0
1000000,200000,80,0.2,2,"Sqrt",5,0.00378944,0.00353242,0.00482204,0,0,0
1000000,200000,80,0.2,3,"Projection to 2/eps alphabet",5,4.68023,4.68128,4.70172,0.175045,0.175595,0.19546
1000000,200000,80,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.235976,0.236249,0.236501,0.082731,0.05343,0.166625
1000000,200000,80,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.282197,0.235288,0.46888,0.077302,0.07153,0.132085
1000000,200000,80,0.2,6,"Heuristic 1: TP score",5,2.34837,2.36008,2.36089,0.000452,0,0.002255
1000000,200000,80,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.237853,0.237876,0.238324,0.000307,0,0.001485
1000000,200000,160,0.2,0,"Brute force",5,14.2236,14.2321,14.2413,0,0,0
1000000,200000,160,0.2,2,"Sqrt",5,0.00395167,0.00378358,0.00483596,0,0,0
1000000,200000,160,0.2,3,"Projection to 2/eps alphabet",5,4.6844,4.68509,4.69104,0.183633,0.181375,0.196225
