n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
10000,2000,100,0.2,0,"Brute force",5,0.000937616,0.000933958,0.000954791,0,0,0
10000,2000,100,0.2,2,"Sqrt",5,0.000186042,0.000177125,0.000224459,0,0,0
10000,2000,100,0.2,3,"Projection to 2/eps alphabet",5,0.0234533,0.0223883,0.0268964,0.0544785,0.0527383,0.0600707
10000,2000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.00153127,0.00151733,0.00157712,0.0453619,0.0410751,0.0600509
10000,2000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.00156057,0.00155608,0.00160008,0.046421,0.0443878,0.0528724
10000,2000,100,0.2,6,"Heuristic 1: TP score",5,0.0107031,0.0107055,0.0107785,0.160919,0.161339,0.162093
10000,2000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.00153495,0.0015265,0.00158621,0.186974,0.187943,0.188832
100000,20000,100,0.2,0,"Brute force",5,0.147405,0.146685,0.149516,0,0,0
100000,20000,100,0.2,2,"Sqrt",5,0.0105544,0.0105515,0.010667,0,0,0
100000,20000,100,0.2,3,"Projection to 2/eps alphabet",5,0.312837,0.313004,0.313503,0.0265694,0.0265209,0.0278664
100000,20000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.0185847,0.0186699,0.0188064,0.0236391,0.0241043,0.025667
100000,20000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.0188371,0.0188278,0.0189491,0.0229055,0.0225636,0.0249392
100000,20000,100,0.2,6,"Heuristic 1: TP score",5,0.16653,0.166659,0.166882,0.157483,0.157352,0.158081
100000,20000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.018643,0.0184804,0.019598,0.167893,0.16824,0.169207
