n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
500000,10000,100,0.2,0,"Brute force",5,0.274518,0.274418,0.277469,0,0,0
500000,10000,100,0.2,2,"Sqrt",5,0.0185475,0.0184488,0.0190034,0,0,0
500000,10000,100,0.2,3,"Projection to 2/eps alphabet",5,1.22976,1.21711,1.31823,0.2,0.2,0.2
500000,10000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,1.05825,1.0489,1.10567,0.2,0.2,0.2
500000,10000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.157506,0.180453,0.182639,0.2,0.2,0.2
500000,10000,100,0.2,6,"Heuristic 1: TP score",5,0.609504,0.609864,0.616925,0.05864,0.02,0.22
500000,10000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.194904,0.182945,0.242225,0.308687,0.333333,0.333333
1000000,20000,100,0.2,0,"Brute force",5,1.86747,1.80773,1.99445,0,0,0
1000000,20000,100,0.2,2,"Sqrt",5,0.0821001,0.0814901,0.0846277,0,0,0
1000000,20000,100,0.2,3,"Projection to 2/eps alphabet",5,2.50249,2.49778,2.53263,0.2,0.2,0.2
1000000,20000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,2.17932,2.17054,2.20992,0.2,0.2,0.2
1000000,20000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.315432,0.363612,0.364279,0.2,0.2,0.2
1000000,20000,100,0.2,6,"Heuristic 1: TP score",5,1.27097,1.24272,1.40452,0.0210002,0.02,0.04
1000000,20000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.403495,0.38302,0.498032,0.3,0.333333,0.333333
1000000,10000,100,0.2,0,"Brute force",5,0.558361,0.557688,0.561861,0,0,0
1000000,10000,100,0.2,2,"Sqrt",5,0.0366341,0.036669,0.0368597,0,0,0
1000000,10000,100,0.2,3,"Projection to 2/eps alphabet",5,2.37638,2.37533,2.38941,0.2,0.2,0.2
1000000,10000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,2.1561,2.15545,2.18796,0.2,0.2,0.2
1000000,10000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.358422,0.358644,0.478268,0.2,0.2,0.2
1000000,10000,100,0.2,6,"Heuristic 1: TP score",5,1.20986,1.21044,1.2156,0.2,0.166667,0.333333
1000000,10000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.482594,0.47925,0.598167,0.333333,0.333333,0.333333
1000000,20000,100,0.2,0,"Brute force",5,1.8035,1.80366,1.80711,0,0,0
1000000,20000,100,0.2,2,"Sqrt",5,0.0791841,0.0791744,0.079562,0,0,0
1000000,20000,100,0.2,3,"Projection to 2/eps alphabet",5,2.50997,2.50678,2.55784,0.2,0.2,0.2
1000000,20000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,2.24595,2.23796,2.2745,0.2,0.2,0.2
1000000,20000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.305291,0.26186,0.38236,0.2,0.2,0.2
1000000,20000,100,0.2,6,"Heuristic 1: TP score",5,1.27169,1.2726,1.28548,0.0759867,0.02,0.166667
1000000,20000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.403984,0.379266,0.506023,0.333333,0.333333,0.333333
1000000,40000,100,0.2,0,"Brute force",5,3.50386,3.49016,3.57804,0,0,0
1000000,40000,100,0.2,2,"Sqrt",5,0.154948,0.155585,0.156347,0,0,0
1000000,40000,100,0.2,3,"Projection to 2/eps alphabet",5,2.87643,2.89876,2.97601,0.2,0.2,0.2
1000000,40000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,2.51543,2.51065,2.54272,0.2,0.2,0.2
1000000,40000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.408383,0.423239,0.628649,0.2,0.2,0.2
1000000,40000,100,0.2,6,"Heuristic 1: TP score",5,1.41018,1.40595,1.42431,0.137197,0.166667,0.221667
1000000,40000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.510796,0.557539,0.576625,0.236,0.18,0.333333
1000000,80000,100,0.2,0,"Brute force",5,6.78723,6.77267,6.8439,0,0,0
1000000,80000,100,0.2,2,"Sqrt",5,0.298191,0.298835,0.300411,0,0,0
1000000,80000,100,0.2,3,"Projection to 2/eps alphabet",5,3.19668,3.17209,3.25522,0.2,0.2,0.2
1000000,80000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,2.85033,2.85246,2.86004,0.2,0.2,0.2
1000000,80000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.349838,0.318816,0.478089,0.2,0.2,0.2
1000000,80000,100,0.2,6,"Heuristic 1: TP score",5,1.59327,1.59176,1.59711,0.136331,0.166667,0.166667
1000000,80000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.604094,0.632144,0.799475,0.251083,0.25,0.333333
1000000,20000,40,0.2,0,"Brute force",5,1.84353,1.80135,2.01849,0,0,0
1000000,20000,40,0.2,2,"Sqrt",5,0.188203,0.18861,0.189173,0,0,0
1000000,20000,40,0.2,3,"Projection to 2/eps alphabet",5,2.48703,2.49156,2.4953,0.2,0.2,0.2
1000000,20000,40,0.2,4,"Projection to 2/eps alphabet with short circuit",5,2.36304,2.36477,2.37702,0.2,0.2,0.2
1000000,20000,40,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.299706,0.251312,0.377679,0.2,0.2,0.2
1000000,20000,40,0.2,6,"Heuristic 1: TP score",5,1.27103,1.26338,1.30772,0.143461,0.166667,0.333333
1000000,20000,40,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.350631,0.37468,0.375375,0.333333,0.333333,0.333333
1000000,20000,80,0.2,0,"Brute force",5,1.79867,1.79971,1.8012,0,0,0
1000000,20000,80,0.2,2,"Sqrt",5,0.0971327,0.0969921,0.0975617,0,0,0
1000000,20000,80,0.2,3,"Projection to 2/eps alphabet",5,2.49587,2.48906,2.5237,0.2,0.2,0.2
1000000,20000,80,0.2,4,"Projection to 2/eps alphabet with short circuit",5,2.30811,2.28565,2.3844,0.2,0.2,0.2
1000000,20000,80,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.285378,0.262042,0.386815,0.2,0.2,0.2
1000000,20000,80,0.2,6,"Heuristic 1: TP score",5,1.27381,1.26934,1.29022,0.10832,0.166667,0.166667
1000000,20000,80,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.451794,0.380645,0.62648,0.3,0.333333,0.333333
1000000,20000,160,0.2,0,"Brute force",5,1.81259,1.81582,1.82773,0,0,0
1000000,20000,160,0.2,2,"Sqrt",5,0.0544666,0.053423,0.0593876,0,0,0
1000000,20000,160,0.2,3,"Projection to 2/eps alphabet",5,2.51119,2.51029,2.55323,0.2,0.2,0.2
1000000,20000,160,0.2,4,"Projection to 2/eps alphabet with short circuit",5,2.11889,2.11372,2.13755,0.2,0.2,0.2
1000000,20000,160,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.253477,0.253631,0.255177,0.2,0.2,0.2
1000000,20000,160,0.2,6,"Heuristic 1: TP score",5,1.2607,1.2588,1.26639,0.160967,0.165333,0.221333
1000000,20000,160,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.453627,0.378468,0.628741,0.333333,0.333333,0.333333
1000000,20000,320,0.2,0,"Brute force",5,1.80182,1.8022,1.81307,0,0,0
1000000,20000,320,0.2,2,"Sqrt",5,0.0376334,0.0373513,0.038588,0,0,0
1000000,20000,320,0.2,3,"Projection to 2/eps alphabet",5,2.49383,2.49458,2.52429,0.198925,0.198925,0.198925
1000000,20000,320,0.2,4,"Projection to 2/eps alphabet with short circuit",5,2.00638,2.00054,2.02393,0.198925,0.198925,0.198925
1000000,20000,320,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.561372,0.510848,0.75892,0.198925,0.198925,0.198925
1000000,20000,320,0.2,6,"Heuristic 1: TP score",5,1.26774,1.26925,1.27857,0.102783,0.165775,0.166667
1000000,20000,320,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.626812,0.626701,0.752324,0.268451,0.29595,0.331551
1000000,20000,640,0.2,0,"Brute force",5,1.87076,1.79538,2.11998,0,0,0
1000000,20000,640,0.2,2,"Sqrt",5,0.0217131,0.0216662,0.0223611,0,0,0
1000000,20000,640,0.2,3,"Projection to 2/eps alphabet",5,2.54381,2.53206,2.65811,0.2,0.2,0.2
1000000,20000,640,0.2,4,"Projection to 2/eps alphabet with short circuit",5,1.87676,1.87635,1.88871,0.2,0.2,0.2
1000000,20000,640,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.851803,0.698811,1.37069,0.2,0.2,0.2
1000000,20000,640,0.2,6,"Heuristic 1: TP score",5,1.26869,1.26623,1.28771,0.108361,0.163043,0.166667
1000000,20000,640,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.818544,0.880645,1.02717,0.197117,0.215054,0.215054
1000000,20000,1280,0.2,0,"Brute force",5,1.88165,1.83095,2.07889,0,0,0
1000000,20000,1280,0.2,2,"Sqrt",5,0.0100933,0.00997396,0.0104942,0,0,0
1000000,20000,1280,0.2,3,"Projection to 2/eps alphabet",5,2.53215,2.52973,2.61725,0.2,0.2,0.2
1000000,20000,1280,0.2,4,"Projection to 2/eps alphabet with short circuit",5,1.75555,1.75083,1.77591,0.2,0.2,0.2
1000000,20000,1280,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.673856,0.623516,0.998107,0.2,0.2,0.2
1000000,20000,1280,0.2,6,"Heuristic 1: TP score",5,1.26023,1.25299,1.28554,0.102949,0.166667,0.170213
1000000,20000,1280,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.628964,0.629737,0.755915,0.293608,0.326087,0.333333
1000000,20000,100,0.05,0,"Brute force",5,1.79473,1.79497,1.80107,0,0,0
1000000,20000,100,0.05,2,"Sqrt",5,0.0803488,0.0801804,0.081338,0,0,0
1000000,20000,100,0.05,3,"Projection to 2/eps alphabet",5,8.69634,8.69279,8.74105,0.05,0.05,0.05
1000000,20000,100,0.05,4,"Projection to 2/eps alphabet with short circuit",5,7.94651,7.83519,8.26006,0.05,0.05,0.05
1000000,20000,100,0.05,5,"Projection to 2/eps alphabet with magic short circuit",5,2.45856,2.20487,3.51367,0.05,0.05,0.05
1000000,20000,100,0.05,6,"Heuristic 1: TP score",5,4.3332,4.3332,4.35151,0.00932,0.01,0.01
1000000,20000,100,0.05,7,"Heuristic 1: TP score with magic short circuit",5,1.91727,1.74119,2.61434,0.0533,0.05,0.0665
1000000,20000,100,0.1,0,"Brute force",5,1.88644,1.80507,2.07905,0,0,0
1000000,20000,100,0.1,2,"Sqrt",5,0.0799383,0.0798273,0.0806168,0,0,0
1000000,20000,100,0.1,3,"Projection to 2/eps alphabet",5,4.62642,4.61532,4.75073,0.1,0.1,0.1
1000000,20000,100,0.1,4,"Projection to 2/eps alphabet with short circuit",5,4.10008,4.09398,4.12396,0.1,0.1,0.1
1000000,20000,100,0.1,5,"Projection to 2/eps alphabet with magic short circuit",5,1.09305,0.914007,1.59213,0.1,0.1,0.1
1000000,20000,100,0.1,6,"Heuristic 1: TP score",5,2.26257,2.26528,2.26765,0.0124102,0.010101,0.02
1000000,20000,100,0.1,7,"Heuristic 1: TP score with magic short circuit",5,0.91281,0.908918,1.14405,0.1198,0.133,0.133
1000000,20000,100,0.2,0,"Brute force",5,1.80741,1.80738,1.83442,0,0,0
1000000,20000,100,0.2,2,"Sqrt",5,0.0790609,0.0789093,0.0796255,0,0,0
1000000,20000,100,0.2,3,"Projection to 2/eps alphabet",5,2.47319,2.46619,2.50364,0.2,0.2,0.2
