n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
10000,2000,100,0.2,0,"Brute force",5,0.000967342,0.000967,0.000973584,0,0,0
10000,2000,100,0.2,2,"Sqrt",5,0.000122875,0.000117792,0.000153667,0,0,0
10000,2000,100,0.2,3,"Projection to 2/eps alphabet",5,0.0218075,0.0219492,0.0220828,0.0346499,0.0343261,0.0368873
10000,2000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.00152423,0.00150079,0.001638,0.0302085,0.0308548,0.0363636
10000,2000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.00149507,0.00148904,0.00152054,0.028501,0.030303,0.0308236
10000,2000,100,0.2,6,"Heuristic 1: TP score",5,0.0104409,0.0103801,0.0105851,0.157341,0.16002,0.164563
10000,2000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.00155708,0.00156279,0.00160233,0.156427,0.173737,0.188794
100000,20000,100,0.2,0,"Brute force",5,0.14872,0.147298,0.152403,0,0,0
100000,20000,100,0.2,2,"Sqrt",5,0.00794987,0.0079675,0.00802108,0,0,0
100000,20000,100,0.2,3,"Projection to 2/eps alphabet",5,0.31686,0.313433,0.327455,0.0227601,0.0227342,0.0232229
100000,20000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.0188148,0.0187682,0.0191533,0.0215571,0.0215217,0.0220674
100000,20000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.0188313,0.0188265,0.0190146,0.0170197,0.0203989,0.0215635
100000,20000,100,0.2,6,"Heuristic 1: TP score",5,0.166258,0.165933,0.167093,0.142982,0.153229,0.154262
100000,20000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.018566,0.0185624,0.0185936,0.163405,0.164714,0.200485
1000000,200000,100,0.2,0,"Brute force",5,14.2288,14.2407,14.2812,0,0,0
1000000,200000,100,0.2,2,"Sqrt",5,0.354888,0.355183,0.355764,0,0,0
1000000,200000,100,0.2,3,"Projection to 2/eps alphabet",5,4.69104,4.668,4.76449,0.0189824,0.0189708,0.0191359
1000000,200000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.235364,0.235482,0.23592,0.0143173,0.0185286,0.0187721
1000000,200000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.236001,0.236069,0.236632,0.0185749,0.0185548,0.0188156
1000000,200000,100,0.2,6,"Heuristic 1: TP score",5,2.34747,2.34722,2.35057,0.150316,0.152859,0.157468
1000000,200000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.237824,0.237738,0.2384,0.125054,0.144429,0.172604
1000000,50000,100,0.2,0,"Brute force",5,4.25754,4.2533,4.27817,0,0,0
1000000,50000,100,0.2,2,"Sqrt",5,0.197361,0.197378,0.197713,0,0,0
1000000,50000,100,0.2,3,"Projection to 2/eps alphabet",5,3.23781,3.23686,3.24033,0.0208226,0.0208304,0.0208897
1000000,50000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.163845,0.163962,0.164079,0.0203349,0.0203698,0.0204378
1000000,50000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.164176,0.164096,0.164447,0.0202238,0.0201979,0.0206494
1000000,50000,100,0.2,6,"Heuristic 1: TP score",5,1.66982,1.63443,1.7963,0.151693,0.157357,0.157875
1000000,50000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.166788,0.166695,0.167263,0.162036,0.171899,0.200004
1000000,100000,100,0.2,0,"Brute force",5,8.00887,8.01291,8.02337,0,0,0
1000000,100000,100,0.2,2,"Sqrt",5,0.369125,0.369216,0.369754,0,0,0
1000000,100000,100,0.2,3,"Projection to 2/eps alphabet",5,3.64326,3.62821,3.68141,0.0197503,0.0197881,0.0198733
1000000,100000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.183567,0.182861,0.188327,0.0192196,0.0192347,0.0194054
1000000,100000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.182575,0.182389,0.183997,0.0192795,0.0192152,0.0195742
1000000,100000,100,0.2,6,"Heuristic 1: TP score",5,1.83065,1.82897,1.84108,0.154458,0.153911,0.157299
1000000,100000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.185265,0.185207,0.186188,0.203415,0.181104,0.310247
1000000,400000,100,0.2,0,"Brute force",5,21.32,21.3172,21.4576,0,0,0
1000000,400000,100,0.2,2,"Sqrt",5,0.466965,0.466544,0.468163,0,0,0
1000000,400000,100,0.2,3,"Projection to 2/eps alphabet",5,5.2113,5.21181,5.2194,0.0184154,0.0183897,0.0185616
1000000,400000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.261686,0.261427,0.26316,0.012713,0.0126985,0.0181264
1000000,400000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.262226,0.262257,0.262924,0.0127197,0.0127367,0.0181472
1000000,400000,100,0.2,6,"Heuristic 1: TP score",5,2.6236,2.62422,2.62432,0.13172,0.150332,0.157305
1000000,400000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.264071,0.264296,0.264647,0.149422,0.152774,0.161797
1000000,600000,100,0.2,0,"Brute force",5,21.4587,21.4978,21.5102,0,0,0
1000000,600000,100,0.2,2,"Sqrt",5,0.619653,0.620338,0.620625,0,0,0
1000000,600000,100,0.2,3,"Projection to 2/eps alphabet",5,6.6576,6.65247,6.68847,0.0182508,0.0183012,0.0183287
1000000,600000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.336422,0.334626,0.344965,0.0136528,0.0179067,0.0180016
1000000,600000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.333699,0.333964,0.334317,0.0122647,0.0143086,0.0181901
1000000,600000,100,0.2,6,"Heuristic 1: TP score",5,3.35191,3.33479,3.42172,0.141422,0.152922,0.156106
1000000,600000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.336958,0.336083,0.340671,0.148226,0.150047,0.156004
1000000,200000,4,0.2,0,"Brute force",5,14.351,14.3239,14.4893,0,0,0
1000000,200000,4,0.2,2,"Sqrt",5,0.15964,0.160065,0.160761,0,0,0
1000000,200000,4,0.2,3,"Projection to 2/eps alphabet",5,3.1478,3.1166,3.27483,0.2,0.2,0.2
1000000,200000,4,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.159209,0.159498,0.162284,0.2,0.2,0.2
1000000,200000,4,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.159183,0.159091,0.162708,0.2,0.2,0.2
1000000,200000,4,0.2,6,"Heuristic 1: TP score",5,1.61722,1.61279,1.66001,0,0,0
1000000,200000,4,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.163549,0.165398,0.167366,0,0,0
1000000,200000,10,0.2,0,"Brute force",5,14.3962,14.2943,14.8628,0,0,0
1000000,200000,10,0.2,2,"Sqrt",5,0.391542,0.391367,0.392384,0,0,0
1000000,200000,10,0.2,3,"Projection to 2/eps alphabet",5,4.70697,4.71635,4.74331,0.190097,0.190098,0.190123
1000000,200000,10,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.242917,0.24281,0.24973,0.165851,0.189639,0.189934
1000000,200000,10,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.241536,0.241451,0.244559,0.189893,0.189911,0.190064
1000000,200000,10,0.2,6,"Heuristic 1: TP score",5,2.38953,2.37383,2.45668,0.0924103,0.10863,0.109199
1000000,200000,10,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.238947,0.238824,0.24081,0.109755,0.109825,0.109856
1000000,200000,20,0.2,0,"Brute force",5,14.4174,14.421,14.5938,0,0,0
1000000,200000,20,0.2,2,"Sqrt",5,0.925325,0.89253,0.982953,0,0,0
1000000,200000,20,0.2,3,"Projection to 2/eps alphabet",5,4.86268,4.81397,4.99817,0.0726396,0.0726545,0.0727611
1000000,200000,20,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.237635,0.236803,0.242307,0.0721883,0.0723027,0.0725776
1000000,200000,20,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.2489,0.250522,0.25284,0.0723059,0.0722079,0.0726546
1000000,200000,20,0.2,6,"Heuristic 1: TP score",5,2.38924,2.3642,2.44959,0.101659,0.107696,0.131036
1000000,200000,20,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.24603,0.246279,0.251722,0.143583,0.12384,0.258753
1000000,200000,40,0.2,0,"Brute force",5,14.5028,14.416,14.8648,0,0,0
1000000,200000,40,0.2,2,"Sqrt",5,0.601173,0.600554,0.609275,0,0,0
1000000,200000,40,0.2,3,"Projection to 2/eps alphabet",5,4.74147,4.73731,4.8062,0.0454818,0.0454632,0.0456203
1000000,200000,40,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.241929,0.242048,0.245911,0.0396159,0.0449606,0.0453128
1000000,200000,40,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.237033,0.235932,0.241798,0.0397414,0.0451375,0.0454643
1000000,200000,40,0.2,6,"Heuristic 1: TP score",5,2.44355,2.42395,2.51417,0.129319,0.131747,0.14227
1000000,200000,40,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.246419,0.24808,0.249499,0.111531,0.109892,0.143292
1000000,200000,80,0.2,0,"Brute force",5,14.526,14.4911,14.6458,0,0,0
1000000,200000,80,0.2,2,"Sqrt",5,0.424169,0.420565,0.447561,0,0,0
1000000,200000,80,0.2,3,"Projection to 2/eps alphabet",5,4.84354,4.84843,4.95344,0.0190443,0.0190193,0.0192861
1000000,200000,80,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.239388,0.236457,0.245551,0.0186139,0.0186248,0.018855
1000000,200000,80,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.237757,0.236416,0.243927,0.015931,0.0184423,0.0189724
1000000,200000,80,0.2,6,"Heuristic 1: TP score",5,2.41326,2.39947,2.45763,0.118291,0.141705,0.152826
1000000,200000,80,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.242199,0.241356,0.248023,0.153638,0.164483,0.175975
1000000,200000,160,0.2,0,"Brute force",5,14.5547,14.5305,14.9555,0,0,0
1000000,200000,160,0.2,2,"Sqrt",5,0.309004,0.309054,0.311451,0,0,0
1000000,200000,160,0.2,3,"Projection to 2/eps alphabet",5,4.82293,4.76485,5.12057,0.0126097,0.0125984,0.0127588
1000000,200000,160,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.237764,0.236954,0.241822,0.00951195,0.0119407,0.0122718
1000000,200000,160,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.242298,0.241938,0.245545,0.0120279,0.0119836,0.0122923
1000000,200000,160,0.2,6,"Heuristic 1: TP score",5,2.4426,2.40529,2.60294,0.150611,0.147984,0.160677
1000000,200000,160,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.243592,0.242502,0.248918,0.167856,0.164281,0.1927
1000000,200000,320,0.2,0,"Brute force",5,14.4761,14.4636,14.8147,0,0,0
1000000,200000,320,0.2,2,"Sqrt",5,0.268494,0.268425,0.26888,0,0,0
