dataset,n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
nebulin_31m.in,31168785,8525,22,0.05,0,"Brute force",3,15.0086,15.0066,15.0169,0,0,0
nebulin_31m.in,31168785,8525,22,0.05,2,"Sqrt",3,5.53183,5.51773,5.58043,0,0,0
nebulin_31m.in,31168785,8525,22,0.05,3,"Projection to 2/eps alphabet",3,310.687,310.652,310.826,0.05,0.05,0.05
nebulin_31m.in,31168785,8525,22,0.05,4,"Projection to 2/eps alphabet with short circuit",3,140.684,136.636,148.87,0.05,0.05,0.05
nebulin_31m.in,31168785,8525,22,0.05,5,"Projection to 2/eps alphabet with magic short circuit",3,12.4519,12.4541,12.4645,0.05,0.05,0.05
nebulin_31m.in,31168785,8525,22,0.05,6,"Heuristic 1: TP score",3,160.257,160.315,160.344,0.0053592,0.00630876,0.00666749
nebulin_31m.in,31168785,8525,22,0.05,7,"Heuristic 1: TP score with magic short circuit",3,12.3272,12.3308,12.3404,0.0130868,0.0155613,0.0162742
nebulin_31m.in,31168785,8525,22,0.1,0,"Brute force",3,14.9908,14.9712,15.0318,0,0,0
nebulin_31m.in,31168785,8525,22,0.1,2,"Sqrt",3,5.49094,5.49342,5.4943,0,0,0
nebulin_31m.in,31168785,8525,22,0.1,3,"Projection to 2/eps alphabet",3,161.935,162.003,162.544,0.0767543,0.0790709,0.0793906
nebulin_31m.in,31168785,8525,22,0.1,4,"Projection to 2/eps alphabet with short circuit",3,58.19,58.5143,58.5509,0.0752184,0.075202,0.0777984
nebulin_31m.in,31168785,8525,22,0.1,5,"Projection to 2/eps alphabet with magic short circuit",3,6.43409,6.37656,6.56523,0.0644072,0.0639851,0.0678677
nebulin_31m.in,31168785,8525,22,0.1,6,"Heuristic 1: TP score",3,83.7633,83.782,84.0669,0.0501126,0.0488107,0.0533927
nebulin_31m.in,31168785,8525,22,0.1,7,"Heuristic 1: TP score with magic short circuit",3,6.47877,6.4625,6.53041,0.0638967,0.0611364,0.0694879
nebulin_31m.in,31168785,8525,22,0.2,0,"Brute force",3,14.9698,14.9668,14.9771,0,0,0
nebulin_31m.in,31168785,8525,22,0.2,2,"Sqrt",3,5.50019,5.50349,5.50449,0,0,0
nebulin_31m.in,31168785,8525,22,0.2,3,"Projection to 2/eps alphabet",3,88.6154,88.6997,88.8644,0.0927026,0.0946614,0.0971067
nebulin_31m.in,31168785,8525,22,0.2,4,"Projection to 2/eps alphabet with short circuit",3,28.1647,28.2007,28.2175,0.0895141,0.088744,0.091709
nebulin_31m.in,31168785,8525,22,0.2,5,"Projection to 2/eps alphabet with magic short circuit",3,3.58174,3.58241,3.58448,0.0721284,0.0838686,0.0907626
nebulin_31m.in,31168785,8525,22,0.2,6,"Heuristic 1: TP score",3,45.7189,45.7526,45.9491,0.126289,0.12707,0.127493
nebulin_31m.in,31168785,8525,22,0.2,7,"Heuristic 1: TP score with magic short circuit",3,3.60427,3.60785,3.60805,0.147161,0.143444,0.15649
nebulin_31m.in,31168785,8525,22,0.5,0,"Brute force",3,14.9783,14.9737,14.988,0,0,0
nebulin_31m.in,31168785,8525,22,0.5,2,"Sqrt",3,5.50224,5.5019,5.51488,0,0,0
nebulin_31m.in,31168785,8525,22,0.5,3,"Projection to 2/eps alphabet",3,44.2565,44.3492,44.5343,0.136604,0.133433,0.157372
nebulin_31m.in,31168785,8525,22,0.5,4,"Projection to 2/eps alphabet with short circuit",3,7.01038,6.99986,7.08103,0.123915,0.116692,0.142169
nebulin_31m.in,31168785,8525,22,0.5,5,"Projection to 2/eps alphabet with magic short circuit",3,1.77027,1.77009,1.77075,0.105752,0.105387,0.109783
nebulin_31m.in,31168785,8525,22,0.5,6,"Heuristic 1: TP score",3,23.5991,23.7629,23.7698,0.299175,0.299268,0.299308
nebulin_31m.in,31168785,8525,22,0.5,7,"Heuristic 1: TP score with magic short circuit",3,1.81507,1.8094,1.83203,0.335195,0.331684,0.343124
