n,m,sigma,eps,algo_id,algo_name,rounds,avg_time,avg_ratio,max_ratio
10000,500,10,0.05,0,"Brute Force",3,0.000382486,0,0
10000,500,10,0.05,1,"Projection to Binary Alphabet",3,0.0247004,0,0
10000,500,10,0.05,2,"Sqrt",3,0.000205806,0,0
10000,500,10,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0189679,0.0108932,0.0326797
10000,500,10,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0197813,0,0
10000,500,10,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0188561,0.00973783,0.0292135
10000,500,10,0.1,0,"Brute Force",3,0.000299597,0,0
10000,500,10,0.1,1,"Projection to Binary Alphabet",3,0.0218218,0,0
10000,500,10,0.1,2,"Sqrt",3,0.000206319,0,0
10000,500,10,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0187064,0,0
10000,500,10,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0195427,0.00952381,0.0285714
10000,500,10,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0186204,0,0
10000,500,10,0.2,0,"Brute Force",3,0.000299291,0,0
10000,500,10,0.2,1,"Projection to Binary Alphabet",3,0.0217968,0,0
10000,500,10,0.2,2,"Sqrt",3,0.000206167,0,0
10000,500,10,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0190303,0,0
10000,500,10,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0197462,0.00962963,0.0288889
10000,500,10,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0188548,0,0.0311111
10000,500,10,0.5,0,"Brute Force",3,0.000298819,0,0
10000,500,10,0.5,1,"Projection to Binary Alphabet",3,0.0089395,0.187831,0.191011
10000,500,10,0.5,2,"Sqrt",3,0.000207236,0,0
10000,500,10,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,0.00755269,0.190373,0.195175
10000,500,10,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,0.00845196,0.198989,0.21286
10000,500,10,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.00750646,0.192955,0.199571
10000,1000,10,0.05,0,"Brute Force",3,0.00055475,0,0
10000,1000,10,0.05,1,"Projection to Binary Alphabet",3,0.0220366,0,0
10000,1000,10,0.05,2,"Sqrt",3,0.00037718,0,0
10000,1000,10,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0190559,0,0
10000,1000,10,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0200218,0,0.0285088
10000,1000,10,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0190684,0,0
10000,1000,10,0.1,0,"Brute Force",3,0.000541069,0,0
10000,1000,10,0.1,1,"Projection to Binary Alphabet",3,0.0219326,0,0
10000,1000,10,0.1,2,"Sqrt",3,0.000393291,0,0
10000,1000,10,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0193042,0.0093423,0.0297357
10000,1000,10,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0199457,0,0.0319032
10000,1000,10,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0189852,0.0112233,0.03367
10000,1000,10,0.2,0,"Brute Force",3,0.000551667,0,0
10000,1000,10,0.2,1,"Projection to Binary Alphabet",3,0.0221433,0,0
10000,1000,10,0.2,2,"Sqrt",3,0.000377416,0,0
10000,1000,10,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,0.018747,0,0
10000,1000,10,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0199844,0,0
10000,1000,10,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0191671,0.00891862,0.0281215
10000,1000,10,0.5,0,"Brute Force",3,0.000557069,0,0
10000,1000,10,0.5,1,"Projection to Binary Alphabet",3,0.00911733,0.185963,0.18764
10000,1000,10,0.5,2,"Sqrt",3,0.000372875,0,0
10000,1000,10,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,0.00782617,0.187397,0.19479
10000,1000,10,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,0.008783,0.187823,0.192308
10000,1000,10,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.00787681,0.188813,0.195506
