n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
11409987,34350,21,0.05,1,"Brute force fast",5,9.95905,9.95427,9.97076,0,0,0
11409987,34350,21,0.05,2,"Sqrt",5,6.16762,6.16564,6.17257,0,0,0
11409987,34350,21,0.05,3,"Projection to 2/eps alphabet",5,193.577,193.363,194.213,0.05,0.05,0.05
11409987,34350,21,0.05,4,"Projection to 2/eps alphabet with short circuit",5,8.13711,8.12599,8.16124,0.05,0.05,0.05
11409987,34350,21,0.05,5,"Projection to 2/eps alphabet with magic short circuit",5,8.12041,8.12711,8.14148,0.05,0.05,0.05
11409987,34350,21,0.1,1,"Brute force fast",5,9.96611,9.9606,9.98201,0,0,0
11409987,34350,21,0.1,2,"Sqrt",5,6.21431,6.21525,6.22791,0,0,0
11409987,34350,21,0.1,3,"Projection to 2/eps alphabet",5,101.6,101.612,101.66,0.0674065,0.0673424,0.0688393
11409987,34350,21,0.1,4,"Projection to 2/eps alphabet with short circuit",5,4.32416,4.31387,4.38173,0.0568269,0.0577648,0.0629758
11409987,34350,21,0.1,5,"Projection to 2/eps alphabet with magic short circuit",5,4.31008,4.30986,4.31537,0.0595637,0.0625097,0.0661229
11409987,34350,21,0.2,1,"Brute force fast",5,10.0133,9.95954,10.1232,0,0,0
11409987,34350,21,0.2,2,"Sqrt",5,6.21189,6.19733,6.26559,0,0,0
11409987,34350,21,0.2,3,"Projection to 2/eps alphabet",5,55.8067,55.8136,55.8299,0.0773684,0.0797479,0.0803465
11409987,34350,21,0.2,4,"Projection to 2/eps alphabet with short circuit",5,2.39237,2.3916,2.39685,0.0593613,0.0656293,0.0696656
11409987,34350,21,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,2.38582,2.3844,2.39501,0.0592717,0.0663973,0.0709222
11409987,34350,21,0.5,1,"Brute force fast",5,9.96012,9.95729,9.96629,0,0,0
11409987,34350,21,0.5,2,"Sqrt",5,6.21851,6.19842,6.26614,0,0,0
11409987,34350,21,0.5,3,"Projection to 2/eps alphabet",5,28.0683,28.0521,28.1087,0.106534,0.107098,0.109217
11409987,34350,21,0.5,4,"Projection to 2/eps alphabet with short circuit",5,1.24951,1.24831,1.26314,0.0756751,0.0790673,0.0919551
11409987,34350,21,0.5,5,"Projection to 2/eps alphabet with magic short circuit",5,1.24302,1.23849,1.26048,0.0715323,0.0690104,0.0898008
