dataset,n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
input_11m.in,11409987,34350,22,0.05,0,"Brute force",5,35.9648,36.0319,36.163,0,0,0
input_11m.in,11409987,34350,22,0.05,2,"Sqrt",5,3.75459,3.75531,3.77004,0,0,0
input_11m.in,11409987,34350,22,0.05,3,"Projection to 2/eps alphabet",5,122.444,122.109,123.329,0.05,0.05,0.05
input_11m.in,11409987,34350,22,0.05,4,"Projection to 2/eps alphabet with short circuit",5,41.8577,41.1286,45.4852,0.05,0.05,0.05
input_11m.in,11409987,34350,22,0.05,5,"Projection to 2/eps alphabet with magic short circuit",5,5.08938,5.06379,5.193,0.0484138,0.0491382,0.05
input_11m.in,11409987,34350,22,0.05,6,"Heuristic 1: TP score",5,61.1144,61.1056,61.4812,0.00338521,0.00265219,0.00572727
input_11m.in,11409987,34350,22,0.05,7,"Heuristic 1: TP score with magic short circuit",5,5.11947,5.05265,5.23597,0.00518644,0.00624903,0.00787108
input_11m.in,11409987,34350,22,0.1,0,"Brute force",5,35.9352,35.9801,36.3357,0,0,0
input_11m.in,11409987,34350,22,0.1,2,"Sqrt",5,3.81443,3.76364,3.98556,0,0,0
input_11m.in,11409987,34350,22,0.1,3,"Projection to 2/eps alphabet",5,64.3242,64.288,64.7057,0.0671135,0.0683259,0.0689416
input_11m.in,11409987,34350,22,0.1,4,"Projection to 2/eps alphabet with short circuit",5,10.5816,10.581,10.622,0.061784,0.0620488,0.0659034
input_11m.in,11409987,34350,22,0.1,5,"Projection to 2/eps alphabet with magic short circuit",5,2.6633,2.66799,2.67317,0.0553344,0.0574894,0.060847
input_11m.in,11409987,34350,22,0.1,6,"Heuristic 1: TP score",5,32.0557,31.9466,32.7074,0.0462408,0.0469001,0.0477235
input_11m.in,11409987,34350,22,0.1,7,"Heuristic 1: TP score with magic short circuit",5,2.66722,2.66956,2.6932,0.0520554,0.0518255,0.0559975
input_11m.in,11409987,34350,22,0.2,0,"Brute force",5,35.6658,35.6303,35.9653,0,0,0
input_11m.in,11409987,34350,22,0.2,2,"Sqrt",5,3.74256,3.74372,3.75901,0,0,0
input_11m.in,11409987,34350,22,0.2,3,"Projection to 2/eps alphabet",5,35.0197,35.013,35.0659,0.0803925,0.0800988,0.0852282
input_11m.in,11409987,34350,22,0.2,4,"Projection to 2/eps alphabet with short circuit",5,5.79286,5.78928,5.84834,0.07276,0.0743689,0.0756828
input_11m.in,11409987,34350,22,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,1.46433,1.46085,1.47847,0.0661818,0.0688334,0.0733337
input_11m.in,11409987,34350,22,0.2,6,"Heuristic 1: TP score",5,17.5973,17.5839,17.7167,0.121765,0.121733,0.122984
input_11m.in,11409987,34350,22,0.2,7,"Heuristic 1: TP score with magic short circuit",5,1.4747,1.47169,1.48953,0.131323,0.130875,0.140583
input_11m.in,11409987,34350,22,0.5,0,"Brute force",5,35.7279,35.715,36.0288,0,0,0
input_11m.in,11409987,34350,22,0.5,2,"Sqrt",5,3.7689,3.72447,3.91001,0,0,0
input_11m.in,11409987,34350,22,0.5,3,"Projection to 2/eps alphabet",5,17.7442,17.715,17.8456,0.0998675,0.0974454,0.108717
input_11m.in,11409987,34350,22,0.5,4,"Projection to 2/eps alphabet with short circuit",5,2.91574,2.91029,2.93213,0.0876927,0.0876981,0.0919276
input_11m.in,11409987,34350,22,0.5,5,"Projection to 2/eps alphabet with magic short circuit",5,0.740912,0.740159,0.743866,0.0737045,0.0779399,0.0953408
input_11m.in,11409987,34350,22,0.5,6,"Heuristic 1: TP score",5,8.9812,8.96997,9.06907,0.297059,0.296636,0.298951
input_11m.in,11409987,34350,22,0.5,7,"Heuristic 1: TP score with magic short circuit",5,0.794576,0.765239,0.916375,0.310959,0.310564,0.315104
