n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
10000,2000,100,0.2,1,"Brute force fast",5,0.000764543,0.000750671,0.000801684,0,0,0
10000,2000,100,0.2,2,"Sqrt",5,0.000566818,0.000568181,0.000592769,0,0,0
10000,2000,100,0.2,3,"Projection to 2/eps alphabet",5,0.0336247,0.0321842,0.036592,0.0519349,0.0514891,0.054995
10000,2000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.00233607,0.00233484,0.00234259,0.0447872,0.0445344,0.0459596
10000,2000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.00234113,0.00233785,0.00234702,0.0477806,0.0469697,0.0532454
100000,20000,100,0.2,1,"Brute force fast",5,0.027401,0.027378,0.0274992,0,0,0
100000,20000,100,0.2,2,"Sqrt",5,0.0125982,0.0125669,0.0127228,0,0,0
100000,20000,100,0.2,3,"Projection to 2/eps alphabet",5,0.483243,0.481122,0.487631,0.0255849,0.0256177,0.0259125
100000,20000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.0288685,0.028848,0.0289506,0.0228941,0.0223839,0.0241512
100000,20000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.0290972,0.0289401,0.0297089,0.022993,0.0232347,0.0238047
1000000,200000,100,0.2,1,"Brute force fast",5,4.08903,4.09308,4.10042,0,0,0
1000000,200000,100,0.2,2,"Sqrt",5,1.9878,1.98845,1.99176,0,0,0
1000000,200000,100,0.2,3,"Projection to 2/eps alphabet",5,6.95279,6.95253,6.96008,0.0155437,0.0154183,0.015934
1000000,200000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.355166,0.354687,0.356736,0.0148211,0.014821,0.0151858
1000000,200000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.357918,0.357376,0.361691,0.0144776,0.0144778,0.0146261
1000000,50000,100,0.2,1,"Brute force fast",5,1.20855,1.20823,1.20964,0,0,0
1000000,50000,100,0.2,2,"Sqrt",5,0.420492,0.420604,0.420907,0,0,0
1000000,50000,100,0.2,3,"Projection to 2/eps alphabet",5,4.89182,4.89744,4.8977,0.0207497,0.0207412,0.0208451
1000000,50000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.250168,0.250169,0.25061,0.0195283,0.0195202,0.019771
1000000,50000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.250695,0.250598,0.251359,0.0194617,0.0195512,0.020036
1000000,100000,100,0.2,1,"Brute force fast",5,2.32826,2.29381,2.39852,0,0,0
1000000,100000,100,0.2,2,"Sqrt",5,0.965403,0.965514,0.965917,0,0,0
1000000,100000,100,0.2,3,"Projection to 2/eps alphabet",5,5.4878,5.49131,5.49859,0.0172594,0.0174184,0.0174687
