n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
100000,2000,100,0.2,6,"Freq prod heuristic with magic short circuit",5,0.0820724,0.081935,0.0825678,0.2,0.2,0.2
500000,10000,100,0.2,6,"Freq prod heuristic with magic short circuit",5,0.354587,0.372627,0.375702,0.2,0.2,0.2
1000000,20000,100,0.2,6,"Freq prod heuristic with magic short circuit",5,0.727152,0.580921,0.954226,0.2,0.2,0.2
1000000,10000,100,0.2,6,"Freq prod heuristic with magic short circuit",5,0.854297,0.927068,1.10975,0.2,0.2,0.2
1000000,40000,100,0.2,6,"Freq prod heuristic with magic short circuit",5,0.833039,0.62709,1.24701,0.2,0.2,0.2
1000000,80000,100,0.2,6,"Freq prod heuristic with magic short circuit",5,0.925953,0.975731,0.975889,0.2,0.2,0.2
1000000,20000,40,0.2,6,"Freq prod heuristic with magic short circuit",5,0.744245,0.768476,0.95832,0.2,0.2,0.2
1000000,20000,80,0.2,6,"Freq prod heuristic with magic short circuit",5,0.690996,0.578753,0.957975,0.2,0.2,0.2
1000000,20000,160,0.2,6,"Freq prod heuristic with magic short circuit",5,0.729636,0.767586,0.770254,0.2,0.2,0.2
1000000,20000,320,0.2,6,"Freq prod heuristic with magic short circuit",5,1.07075,0.960684,1.71504,0.2,0.2,0.2
1000000,20000,640,0.2,6,"Freq prod heuristic with magic short circuit",5,0.918521,0.766437,1.33676,0.198033,0.196721,0.2
1000000,20000,1280,0.2,6,"Freq prod heuristic with magic short circuit",5,0.917902,0.95501,1.14696,0.2,0.2,0.2
1000000,20000,100,0.05,6,"Freq prod heuristic with magic short circuit",5,2.91952,3.31534,3.31827,0.05,0.05,0.05
1000000,20000,100,0.1,6,"Freq prod heuristic with magic short circuit",5,1.53452,1.39702,1.74409,0.1,0.1,0.1
1000000,20000,100,0.35,6,"Freq prod heuristic with magic short circuit",5,0.442981,0.393081,0.519765,0.35,0.35,0.35
1000000,20000,100,0.5,6,"Freq prod heuristic with magic short circuit",5,0.368417,0.387367,0.388094,0.5,0.5,0.5
