n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
50000,25000,100,0.2,6,"Freq prod heuristic with magic short circuit",5,0.0206211,0.0204358,0.0212115,0.021165,0.0208821,0.0223721
200000,100000,100,0.2,6,"Freq prod heuristic with magic short circuit",5,0.0908959,0.0905619,0.0924655,0.0158948,0.0159125,0.0161013
1000000,500000,100,0.2,6,"Freq prod heuristic with magic short circuit",5,0.406292,0.405452,0.413026,0.0128355,0.0128287,0.0129082
1000000,50000,100,0.2,6,"Freq prod heuristic with magic short circuit",5,0.2517,0.250917,0.255095,0.0196098,0.0197402,0.0201743
1000000,100000,100,0.2,6,"Freq prod heuristic with magic short circuit",5,0.282259,0.281524,0.285006,0.0167882,0.016951,0.0171708
1000000,250000,100,0.2,6,"Freq prod heuristic with magic short circuit",5,0.357568,0.357847,0.359094,0.0141192,0.0141011,0.0142748
1000000,500000,4,0.2,6,"Freq prod heuristic with magic short circuit",5,0.270141,0.270289,0.272308,0.2,0.2,0.2
1000000,500000,10,0.2,6,"Freq prod heuristic with magic short circuit",5,0.401034,0.40061,0.403792,0.0958189,0.0957837,0.0960191
1000000,500000,20,0.2,6,"Freq prod heuristic with magic short circuit",5,0.404102,0.399878,0.419119,0.0512157,0.0512601,0.0514806
1000000,500000,40,0.2,6,"Freq prod heuristic with magic short circuit",5,0.39929,0.399581,0.400192,0.0274235,0.0274582,0.0275833
1000000,500000,80,0.2,6,"Freq prod heuristic with magic short circuit",5,0.400644,0.40038,0.403157,0.0154244,0.0154662,0.0155905
1000000,500000,160,0.2,6,"Freq prod heuristic with magic short circuit",5,0.403956,0.402713,0.408289,0.00921789,0.00916901,0.00938323
1000000,500000,320,0.2,6,"Freq prod heuristic with magic short circuit",5,0.400047,0.399492,0.401818,0.00609579,0.00609476,0.00619776
1000000,500000,640,0.2,6,"Freq prod heuristic with magic short circuit",5,0.399458,0.399079,0.401599,0.00456438,0.00451501,0.00478532
1000000,500000,1280,0.2,6,"Freq prod heuristic with magic short circuit",5,0.408615,0.404228,0.435111,0.00379765,0.00380088,0.00391892
1000000,500000,100,0.05,6,"Freq prod heuristic with magic short circuit",5,1.38736,1.39,1.39325,0.0110578,0.011061,0.0111068
1000000,500000,100,0.1,6,"Freq prod heuristic with magic short circuit",5,0.73663,0.734252,0.747238,0.0119962,0.0119854,0.0121414
1000000,500000,100,0.35,6,"Freq prod heuristic with magic short circuit",5,0.270077,0.269038,0.272946,0.0265851,0.0265835,0.0267291
1000000,500000,100,0.5,6,"Freq prod heuristic with magic short circuit",5,0.205037,0.204161,0.207272,0.0147736,0.014823,0.014833
