n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
10000,2000,100,0.2,1,"Brute force fast",5,0.000759876,0.000745904,0.000819687,0,0,0
10000,2000,100,0.2,2,"Sqrt",5,0.000463948,0.000483437,0.000575758,0,0,0
10000,2000,100,0.2,3,"Projection to 2/eps alphabet",5,0.0372659,0.037262,0.0373137,0.0793492,0.078481,0.085902
10000,2000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.00271344,0.00271413,0.00272265,0.0715116,0.0710685,0.0740365
10000,2000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.00271389,0.00271047,0.00273034,0.0744697,0.0764557,0.0781644
100000,20000,100,0.2,1,"Brute force fast",5,0.0274895,0.0274788,0.0275909,0,0,0
100000,20000,100,0.2,2,"Sqrt",5,0.0125214,0.0124006,0.0128539,0,0,0
100000,20000,100,0.2,3,"Projection to 2/eps alphabet",5,0.559378,0.559327,0.55959,0.0525326,0.0523761,0.053714
100000,20000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.0335391,0.0334739,0.0338078,0.051113,0.051023,0.0519454
100000,20000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.0334784,0.0334708,0.0334953,0.0515398,0.0514517,0.0519035
1000000,200000,100,0.2,1,"Brute force fast",5,4.07733,4.07759,4.07843,0,0,0
1000000,200000,100,0.2,2,"Sqrt",5,1.98872,1.98767,1.99726,0,0,0
1000000,200000,100,0.2,3,"Projection to 2/eps alphabet",5,8.04071,8.04191,8.0438,0.0438357,0.0439221,0.0441414
1000000,200000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.410325,0.410439,0.410808,0.0432679,0.043107,0.044001
1000000,200000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.41016,0.410147,0.410404,0.0431207,0.0430416,0.0433838
1000000,50000,100,0.2,1,"Brute force fast",5,1.21019,1.21014,1.211,0,0,0
1000000,50000,100,0.2,2,"Sqrt",5,0.419408,0.419229,0.41994,0,0,0
1000000,50000,100,0.2,3,"Projection to 2/eps alphabet",5,5.64948,5.64953,5.65019,0.0484342,0.0482453,0.0489663
1000000,50000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.289886,0.289728,0.290178,0.0474945,0.0475661,0.0478576
1000000,50000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.289919,0.289695,0.290363,0.0477264,0.047798,0.0480346
1000000,100000,100,0.2,1,"Brute force fast",5,2.29099,2.29068,2.29264,0,0,0
